customer_id,age,city_tier,employment_type,monthly_income,has_credit_history,fico_score,acquisition_channel,loan_purpose,loan_amount,tenure_months,interest_rate,monthly_installment,grade,dti,installment_to_income,cash_flow_volatility,spending_shock,days_delinquent,partial_payment_ratio,default,clv_proxy
CUST00026,28,3,Salaried,17139.0,1,737.8368443951928,App Organic,Education,78721.0,18,14.59,4896.0,B,0.6597,0.2857,0.4325,0,0,1.0,0,17228.09085
CUST00027,28,3,Informal,19434.0,1,769.0077150803734,Referral,Medical,74780.0,6,11.01,12867.0,A,0.9084,0.6621,0.7756,0,0,1.0,0,4116.639
CUST00028,54,2,Salaried,40489.0,1,656.4163543004196,Referral,Personal,59093.0,3,28.17,20630.0,E,0.7099,0.5095,0.0974,0,58,0.7313,1,4161.624525
CUST00029,36,3,Self-Employed,62405.0,0,,App Organic,Medical,75351.0,24,23.07,3949.0,D,0.2714,0.0633,0.0594,0,123,0.2905,1,34766.951400000005
CUST00030,33,1,Informal,19243.0,0,,Referral,Medical,51724.0,36,27.2,2117.0,E,0.4086,0.11,0.084,0,0,1.0,0,42206.78400000001
CUST00031,43,3,Salaried,37717.0,1,711.3138856978075,App Organic,BNPL,28240.0,6,18.19,4960.0,C,0.2395,0.1315,0.0029,1,0,1.0,0,2568.428
CUST00032,32,2,Informal,23631.0,1,713.8122816345735,App Organic,Personal,153443.0,12,17.53,14033.0,C,0.785,0.5938,0.2946,1,0,1.0,0,26898.557900000003
CUST00033,47,2,Informal,16091.0,0,,Partnership,Working Capital,55163.0,24,27.57,3016.0,E,0.3901,0.1874,0.9177,0,0,1.0,0,30416.8782
CUST00034,42,1,Self-Employed,29036.0,0,,Partnership,BNPL,85622.0,18,28.26,5891.0,E,0.4328,0.2029,0.696,0,108,0.0629,1,36295.1658
CUST00035,52,2,Salaried,50904.0,0,,Agent,Personal,178858.0,36,23.65,6984.0,D,0.2788,0.1372,0.3362,0,41,0.1699,1,126899.751
CUST00036,47,2,Salaried,69195.0,1,639.0457071122862,App Organic,Personal,58452.0,18,28.39,4025.0,E,0.0989,0.0582,0.2056,0,0,1.0,0,24891.7842
CUST00037,22,3,Student,10561.0,0,,App Organic,Personal,93408.0,18,28.29,6428.0,E,0.8134,0.6087,0.7275,0,54,0.7284,1,39637.684799999995
CUST00038,53,3,Salaried,53504.0,1,726.1526023921436,Agent,Personal,168068.0,12,18.17,15422.0,C,0.6775,0.2882,0.6958,1,167,0.639,1,30537.955600000005
CUST00039,46,3,Self-Employed,87517.0,1,600.2837498001945,Referral,Education,9002.0,12,38.43,915.0,G,0.2446,0.0105,0.6004,0,0,1.0,0,3459.4685999999997
CUST00040,48,2,Salaried,34014.0,1,686.1803775916844,App Organic,Education,128353.0,36,23.84,5025.0,D,0.2544,0.1477,0.8733,0,0,1.0,0,91798.0656
CUST00041,39,3,Salaried,33679.0,0,,Referral,BNPL,83885.0,12,22.71,7880.0,D,0.3944,0.234,0.6127,0,0,1.0,0,19050.2835
CUST00042,25,2,Informal,18873.0,1,715.0367913922428,App Organic,Working Capital,54793.0,12,17.73,5016.0,C,0.4443,0.2658,0.3627,0,0,1.0,0,9714.798900000002
CUST00043,53,3,Salaried,67725.0,1,688.8687937236294,Partnership,Medical,76939.0,12,23.37,7252.0,D,0.4334,0.1071,0.7357,0,0,1.0,0,17980.6443
CUST00044,40,1,Student,5175.0,1,668.180390814707,App Organic,Medical,60527.0,12,22.15,5669.0,D,1.0,0.95,0.2372,0,73,0.5533,1,13406.730499999998
CUST00045,50,2,Self-Employed,69582.0,1,614.4894366215875,Agent,Education,138050.0,36,32.95,6086.0,F,0.3752,0.0875,0.6154,0,148,0.1386,1,136462.425
CUST00046,28,3,Self-Employed,12096.0,1,658.0629183733619,App Organic,BNPL,74360.0,24,28.13,4086.0,E,0.5537,0.3378,0.0376,0,112,0.5965,1,41834.936
CUST00047,37,3,Salaried,43182.0,1,708.3638641240793,Referral,BNPL,102913.0,24,17.73,5124.0,C,0.3252,0.1187,0.4271,1,0,1.0,0,36492.9498
CUST00048,21,2,Student,8520.0,0,,Referral,Education,53844.0,18,27.04,3672.0,E,0.5507,0.431,0.0816,0,61,0.6665,1,21839.126399999997
CUST00049,23,3,Salaried,31761.0,1,738.6638872752468,App Organic,Medical,86695.0,12,14.69,7812.0,B,0.5097,0.246,0.9637,1,0,1.0,0,12735.4955
CUST00050,46,1,Self-Employed,26818.0,1,735.7491339536948,Partnership,Education,59688.0,3,13.7,20352.0,B,0.9154,0.7589,0.1499,0,101,0.5271,1,2044.3139999999999
CUST00051,51,3,Salaried,56949.0,1,733.8382625033079,Agent,Education,18203.0,36,13.72,620.0,B,0.301,0.0109,0.3037,0,151,0.0568,1,7492.354800000001
CUST00052,28,2,Salaried,66623.0,0,,Partnership,Working Capital,127336.0,18,23.66,8473.0,D,0.3294,0.1272,0.2635,1,0,1.0,0,45191.5464
CUST00053,28,1,Self-Employed,5000.0,1,698.2738881707137,Partnership,BNPL,88925.0,18,21.52,5824.0,D,1.0,0.95,0.3144,0,0,1.0,0,28704.989999999998
CUST00054,55,1,Self-Employed,41244.0,1,641.5644591940084,Referral,Personal,105849.0,6,28.76,19150.0,E,0.6051,0.4643,0.4436,0,123,0.1702,1,15221.086200000002
CUST00055,48,1,Salaried,43300.0,0,,Partnership,Personal,45863.0,18,24.11,3062.0,D,0.2332,0.0707,0.2649,1,0,1.0,0,16586.353949999997
CUST00056,24,3,Self-Employed,39933.0,0,,App Organic,Working Capital,122389.0,18,22.56,8077.0,D,0.3655,0.2023,0.3766,0,0,1.0,0,41416.4376
CUST00057,36,1,Informal,16099.0,0,,App Organic,Education,93713.0,18,27.76,6424.0,E,0.6027,0.399,0.2667,0,98,0.5178,1,39022.0932
CUST00058,33,2,Salaried,25643.0,1,626.7720826404596,App Organic,BNPL,81009.0,6,33.24,14840.0,F,0.9056,0.5787,0.9765,1,126,0.6311,1,13463.695800000001
CUST00059,40,2,Salaried,68134.0,1,689.7337595226523,App Organic,Personal,116171.0,36,23.13,4505.0,D,0.1507,0.0661,0.2882,1,0,1.0,0,80611.0569
CUST00060,25,2,Salaried,62390.0,0,,App Organic,Medical,61830.0,3,23.49,21422.0,D,0.5539,0.3434,0.3029,0,31,0.7597,1,3630.96675
CUST00061,57,3,Salaried,43440.0,0,,App Organic,BNPL,126789.0,12,23.25,11943.0,D,0.617,0.2749,0.3704,0,0,1.0,0,29478.4425
CUST00062,40,2,Salaried,37675.0,0,,Agent,Medical,48510.0,6,23.42,8646.0,D,0.3352,0.2295,0.6294,0,0,1.0,0,5680.521000000001
CUST00063,44,2,Salaried,35858.0,1,640.2490142046438,App Organic,Working Capital,76331.0,12,29.72,7431.0,E,0.374,0.2072,0.9701,0,128,0.5857,1,22685.5732
CUST00064,56,2,Self-Employed,5000.0,0,,App Organic,Personal,37540.0,24,27.2,2045.0,E,0.6778,0.4091,0.5882,0,0,1.0,0,20421.760000000002
CUST00065,54,2,Salaried,50307.0,0,,Referral,BNPL,29071.0,36,23.67,1136.0,D,0.126,0.0226,0.9844,0,0,1.0,0,20643.317100000004
CUST00066,54,3,Self-Employed,52046.0,1,730.4202517566054,App Organic,Working Capital,56370.0,18,14.74,3510.0,B,0.3887,0.0674,0.3462,0,0,1.0,0,12463.407
CUST00067,39,2,Student,8414.0,0,,Agent,Working Capital,68564.0,18,27.45,4690.0,E,0.858,0.5574,0.9204,1,70,0.6459,1,28231.227
CUST00068,37,1,Student,7741.0,0,,App Organic,Personal,97071.0,18,27.6,6647.0,E,1.0,0.8587,0.3891,0,43,0.59,1,40187.394
CUST00069,25,3,Informal,18800.0,1,690.1366001220949,Partnership,Personal,49278.0,36,23.25,1914.0,D,0.0653,0.1018,0.6287,0,123,0.0924,1,34371.405
CUST00070,45,2,Salaried,32202.0,1,620.4780466196264,Agent,Personal,98476.0,18,32.38,6978.0,F,0.3781,0.2167,0.0518,0,115,0.1408,1,47829.79320000001
CUST00071,38,3,Salaried,37507.0,1,603.7502351796867,App Organic,Education,62202.0,36,37.69,2909.0,G,0.3569,0.0776,0.0041,1,33,0.3415,1,70331.8014
CUST00072,28,2,Informal,17002.0,0,,App Organic,Personal,55237.0,3,28.12,19282.0,E,1.0,0.95,0.2253,0,44,0.4111,1,3883.1611000000003
CUST00073,47,3,Salaried,55450.0,0,,Agent,Working Capital,100178.0,12,22.66,9408.0,D,0.3704,0.1697,0.0387,0,0,1.0,0,22700.3348
CUST00074,35,1,Salaried,65683.0,0,,Agent,Education,53222.0,6,22.89,9472.0,D,0.5064,0.1442,0.4237,0,93,0.0833,1,6091.2579
CUST00075,33,2,Self-Employed,33875.0,0,,Agent,BNPL,148008.0,36,22.57,5696.0,D,0.3938,0.1681,0.4466,0,0,1.0,0,100216.2168
CUST00076,36,2,Salaried,29328.0,1,736.7817576909708,Agent,Personal,92293.0,6,13.53,15995.0,B,0.764,0.5454,0.9549,0,0,1.0,0,6243.621450000001
CUST00077,42,3,Informal,18214.0,0,,App Organic,Personal,20296.0,36,28.24,842.0,E,0.216,0.0462,0.1733,0,110,0.798,1,17194.7712
CUST00078,40,3,Informal,30069.0,1,719.9609037912171,App Organic,BNPL,70232.0,3,17.95,24115.0,C,1.0,0.802,0.4527,1,0,1.0,0,3151.661
CUST00079,33,2,Informal,12253.0,0,,App Organic,Personal,49112.0,36,28.06,2033.0,E,0.4482,0.1659,0.3078,0,0,1.0,0,41342.48159999999
CUST00080,40,3,Informal,23315.0,1,659.0321064948334,Partnership,Personal,9348.0,3,28.35,3264.0,E,0.3019,0.14,0.0599,0,146,0.2809,1,662.5395000000001
CUST00081,22,2,Salaried,65039.0,1,677.0325375507737,Referral,BNPL,117315.0,24,23.09,6150.0,D,0.2367,0.0946,0.1068,0,0,1.0,0,54176.066999999995
CUST00082,55,3,Informal,15840.0,1,702.8298164752666,App Organic,Personal,118236.0,12,17.83,10830.0,C,0.8185,0.6837,0.8774,0,110,0.7262,1,21081.478799999997
CUST00083,39,3,Salaried,34489.0,1,752.1230690314618,App Organic,Personal,46009.0,18,13.56,2839.0,B,0.2455,0.0823,0.3975,0,0,1.0,0,9358.230599999999
CUST00084,57,1,Self-Employed,48349.0,0,,App Organic,Education,103425.0,18,23.22,6860.0,D,0.2798,0.1419,0.7656,0,0,1.0,0,36022.9275
CUST00085,26,3,Salaried,50298.0,1,717.8171162384147,App Organic,BNPL,110079.0,3,19.0,37861.0,C,0.9624,0.7527,0.4487,1,0,1.0,0,5228.7525000000005
CUST00086,34,2,Informal,22169.0,1,700.6548301981471,Agent,Medical,74494.0,3,18.44,25598.0,C,1.0,0.95,0.913,1,141,0.5648,1,3434.1734
CUST00087,24,1,Student,14221.0,0,,Referral,Personal,113091.0,6,27.25,20374.0,E,1.0,0.95,0.7022,0,0,1.0,0,15408.64875
CUST00088,42,1,Salaried,47506.0,1,666.0810282749973,Partnership,Personal,86781.0,6,21.99,15405.0,D,0.468,0.3243,0.3411,0,0,1.0,0,9541.57095
CUST00089,56,3,Salaried,27117.0,0,,Referral,Working Capital,120818.0,3,27.63,42141.0,E,1.0,0.95,0.8627,0,116,0.3509,1,8345.503349999999
CUST00090,54,3,Salaried,46000.0,0,,App Organic,BNPL,28101.0,24,22.23,1461.0,D,0.2582,0.0318,0.087,1,65,0.1987,1,12493.7046
CUST00091,47,3,Salaried,48623.0,1,615.6528298764885,Agent,Medical,80919.0,24,32.36,4623.0,F,0.2143,0.0951,0.076,0,36,0.089,1,52370.7768
CUST00092,27,3,Salaried,64008.0,1,619.9169643765572,Agent,Education,83061.0,18,31.81,5863.0,F,0.1728,0.0916,0.5548,0,35,0.1645,1,39632.55615
CUST00093,23,3,Informal,16819.0,0,,Referral,BNPL,28740.0,24,28.12,1579.0,E,0.2744,0.0939,0.7313,0,176,0.6044,1,16163.376
CUST00094,53,1,Self-Employed,30637.0,0,,Agent,BNPL,32566.0,18,22.42,2147.0,D,0.2761,0.0701,0.601,1,69,0.5056,1,10951.9458
CUST00095,22,1,Self-Employed,13319.0,1,704.1858773436758,Referral,Education,11638.0,24,17.42,578.0,C,0.2326,0.0434,0.6627,0,0,1.0,0,4054.6792000000005
CUST00096,36,1,Informal,21284.0,1,645.6454742169695,Referral,Education,76808.0,24,27.67,4203.0,E,0.3887,0.1975,0.2606,0,135,0.4963,1,42505.5472
CUST00097,45,1,Salaried,95223.0,0,,Referral,Personal,57386.0,3,22.68,19856.0,D,0.4754,0.2085,0.8779,0,55,0.6428,1,3253.7862
CUST00098,35,1,Salaried,41661.0,1,672.1526426889194,App Organic,Working Capital,23369.0,24,22.87,1222.0,D,0.3234,0.0293,0.9717,0,112,0.6916,1,10688.9806
CUST00099,44,2,Informal,20712.0,1,725.8426407504065,App Organic,Working Capital,123690.0,18,17.3,7851.0,C,0.5742,0.3791,0.3883,0,0,1.0,0,32097.555000000004
CUST00100,35,3,Informal,14713.0,0,,App Organic,Education,91012.0,12,28.49,8805.0,E,0.8083,0.5985,0.4089,0,0,1.0,0,25929.318799999997
CUST00101,51,3,Salaried,25781.0,0,,Referral,Education,46018.0,36,28.14,1907.0,E,0.4209,0.074,0.4538,1,113,0.3108,1,38848.395599999996
CUST00102,34,2,Salaried,51514.0,1,661.9483207390457,App Organic,Personal,83130.0,12,28.21,8031.0,E,0.3357,0.1559,0.2001,0,86,0.3219,1,23450.973
CUST00103,34,3,Salaried,45423.0,1,616.3983591420149,Referral,Education,65481.0,6,32.78,11980.0,F,0.4302,0.2638,0.1411,0,143,0.1391,1,10732.335900000002
CUST00104,26,2,Salaried,9217.0,1,627.3366543248907,Partnership,Medical,12505.0,36,33.54,555.0,F,0.1524,0.0603,0.7769,0,52,0.7895,1,12582.530999999999
CUST00105,34,3,Salaried,69150.0,1,725.9656501034232,App Organic,Personal,85955.0,18,18.24,5494.0,C,0.334,0.0795,0.6063,0,178,0.1139,1,23517.287999999997
CUST00106,37,2,Self-Employed,45487.0,1,657.827516944456,Referral,Working Capital,140594.0,3,28.1,49076.0,E,1.0,0.95,0.1503,1,0,1.0,0,9876.728500000001
CUST00107,38,1,Informal,18443.0,0,,Agent,BNPL,131480.0,3,28.5,45925.0,E,1.0,0.95,0.496,0,85,0.5958,1,9367.949999999999
CUST00108,40,3,Salaried,38670.0,0,,App Organic,BNPL,79135.0,6,22.16,14055.0,D,0.4824,0.3635,0.9961,1,0,1.0,0,8768.158
CUST00109,37,2,Self-Employed,45295.0,1,623.4478197753476,App Organic,Working Capital,57560.0,12,33.1,5699.0,F,0.2232,0.1258,0.5266,0,0,1.0,0,19052.36
CUST00110,36,2,Salaried,51771.0,0,,App Organic,Personal,97515.0,18,22.67,6441.0,D,0.4454,0.1244,0.9122,1,140,0.3214,1,33159.97575
CUST00111,52,2,Self-Employed,45224.0,1,648.9396485444286,App Organic,Education,85662.0,24,27.64,4686.0,E,0.3145,0.1036,0.8355,0,0,1.0,0,47353.95359999999
CUST00112,29,2,Self-Employed,57224.0,1,668.0419649678537,Partnership,Personal,69456.0,6,23.4,12379.0,D,0.2891,0.2163,0.1105,0,44,0.138,1,8126.352
CUST00113,47,3,Informal,25772.0,1,735.9725859779859,Agent,Working Capital,149405.0,18,14.69,9299.0,B,0.5861,0.3608,0.4046,0,34,0.708,1,32921.391749999995
CUST00114,53,1,Salaried,75084.0,1,626.9644650554095,Referral,Personal,59156.0,24,33.64,3419.0,F,0.3261,0.0455,0.5597,0,0,1.0,0,39800.156800000004
CUST00115,30,3,Salaried,32447.0,1,664.7673144814594,Partnership,Working Capital,113285.0,24,28.0,6218.0,E,0.4294,0.1916,0.6493,0,0,1.0,0,63439.600000000006
CUST00116,37,1,Self-Employed,27678.0,0,,Agent,BNPL,80754.0,18,27.84,5539.0,E,0.4907,0.2001,0.2914,0,59,0.1859,1,33722.8704
CUST00117,56,2,Salaried,50418.0,1,631.4350183703042,App Organic,Medical,80947.0,3,33.62,28508.0,F,0.8105,0.5654,0.0077,0,174,0.3465,1,6803.59535
CUST00118,37,1,Salaried,33314.0,1,663.7063965272134,Partnership,Education,8963.0,36,27.51,368.0,E,0.274,0.0111,0.3096,0,129,0.1906,1,7397.1639000000005
CUST00119,38,3,Salaried,35730.0,1,646.4093615579797,Referral,BNPL,119057.0,18,28.85,8226.0,E,0.4227,0.2302,0.5665,0,0,1.0,0,51521.916750000004
CUST00120,43,1,Self-Employed,46554.0,0,,Agent,BNPL,108470.0,18,22.81,7172.0,D,0.4746,0.1541,0.3506,0,0,1.0,0,37113.010500000004
CUST00121,54,2,Salaried,58513.0,1,713.747802746431,Partnership,BNPL,82521.0,3,17.98,28335.0,C,0.7494,0.4843,0.3807,0,0,1.0,0,3709.3189500000003
CUST00122,28,1,Student,11828.0,1,651.2112774289743,App Organic,Working Capital,116392.0,6,27.73,20998.0,E,1.0,0.95,0.8367,0,76,0.0751,1,16137.7508
CUST00123,33,1,Salaried,42111.0,1,618.9317770751906,App Organic,BNPL,91622.0,3,33.02,32236.0,F,0.8979,0.7655,0.4169,0,112,0.3347,1,7563.396100000001
CUST00124,43,3,Salaried,51947.0,1,713.8664198204838,App Organic,Personal,23104.0,24,17.54,1148.0,C,0.3065,0.0221,0.9683,1,0,1.0,0,8104.8832
CUST00125,40,1,Self-Employed,42370.0,1,650.908958371393,Referral,Working Capital,36176.0,12,27.81,3488.0,E,0.3777,0.0823,0.164,0,163,0.4395,1,10060.545600000001
CUST00126,42,1,Salaried,45265.0,1,767.2496050613661,Agent,Personal,72575.0,6,11.08,12490.0,A,0.6477,0.2759,0.0901,0,0,1.0,0,4020.6549999999997
CUST00127,43,1,Self-Employed,23312.0,0,,Partnership,Personal,7342.0,18,27.95,504.0,E,0.2176,0.0216,0.2129,0,99,0.5223,1,3078.1335
CUST00128,55,2,Self-Employed,21022.0,0,,App Organic,Medical,119897.0,18,26.76,8160.0,E,0.6205,0.3881,0.088,0,0,1.0,0,48126.6558
CUST00129,23,2,Self-Employed,50000.0,1,581.3158465624713,Referral,Personal,66378.0,36,39.24,3164.0,G,0.2942,0.0633,0.2494,0,142,0.2092,1,78140.18160000001
CUST00130,54,1,Informal,13003.0,1,632.7219836888972,Referral,BNPL,80477.0,24,33.79,4658.0,F,0.4025,0.3582,0.5438,0,71,0.244,1,54386.3566
CUST00131,53,1,Salaried,18346.0,1,582.4386752427819,App Organic,Education,35740.0,24,37.42,2137.0,G,0.3855,0.1165,0.2588,0,93,0.4371,1,26747.816000000003
CUST00132,37,2,Student,7905.0,0,,App Organic,Medical,100860.0,6,27.69,18193.0,E,1.0,0.95,0.8181,0,75,0.2806,1,13964.067000000001
CUST00133,39,2,Informal,26731.0,1,681.3191461786246,App Organic,Working Capital,69291.0,6,22.91,12333.0,D,0.6264,0.4614,0.3588,0,0,1.0,0,7937.28405
CUST00134,50,3,Salaried,5000.0,0,,Partnership,Personal,61957.0,6,28.33,11196.0,E,1.0,0.95,0.4038,0,0,1.0,0,8776.20905
CUST00135,43,3,Salaried,40675.0,1,721.3334489178058,App Organic,Medical,131438.0,24,18.24,6577.0,C,0.2706,0.1617,0.0868,0,0,1.0,0,47948.58239999999
CUST00136,35,2,Salaried,55128.0,1,728.2662370967976,Referral,Working Capital,127377.0,12,17.45,11645.0,C,0.4622,0.2112,0.2705,1,0,1.0,0,22227.2865
CUST00137,34,2,Salaried,17648.0,1,674.8731915757915,Agent,BNPL,104989.0,3,24.17,36415.0,D,1.0,0.95,0.1205,0,67,0.5344,1,6343.960325000001
CUST00138,22,3,Self-Employed,34160.0,1,688.8435751260274,App Organic,Personal,83362.0,24,22.8,4358.0,D,0.3694,0.1276,0.2326,0,0,1.0,0,38013.072
CUST00139,38,3,Salaried,27908.0,1,711.0523909620474,Partnership,Personal,54356.0,12,18.9,5007.0,C,0.3736,0.1794,0.6586,0,0,1.0,0,10273.283999999998
CUST00140,26,2,Student,5000.0,1,649.237239104177,Partnership,Personal,63447.0,24,27.7,3473.0,E,0.9172,0.6945,0.3817,0,111,0.5601,1,35149.638
CUST00141,52,3,Salaried,38964.0,1,642.7894398979042,App Organic,Education,61610.0,3,28.53,21521.0,E,0.858,0.5523,0.0191,0,61,0.0348,1,4394.33325
CUST00142,41,3,Salaried,28153.0,0,,Referral,Personal,90687.0,6,28.19,16381.0,E,0.8243,0.5819,0.2674,0,68,0.6883,1,12782.332650000002
CUST00143,48,2,Salaried,26905.0,0,,App Organic,Personal,73731.0,12,27.57,7100.0,E,0.4989,0.2639,0.8715,0,139,0.1474,1,20327.6367
CUST00144,47,2,Salaried,44112.0,1,707.5001838395289,App Organic,Personal,74728.0,6,18.29,13128.0,C,0.4549,0.2976,0.3779,0,0,1.0,0,6833.875599999999
CUST00145,22,3,Informal,31363.0,1,700.3545272444059,App Organic,BNPL,136636.0,3,18.09,46925.0,C,1.0,0.95,0.5628,0,0,1.0,0,6179.3631000000005
CUST00146,53,1,Self-Employed,51639.0,1,634.4505741442943,Referral,Personal,120749.0,24,33.46,6968.0,F,0.333,0.1349,0.4787,0,151,0.0136,1,80805.2308
CUST00147,36,3,Salaried,60158.0,0,,Referral,Medical,43752.0,18,22.61,2889.0,D,0.1441,0.048,0.9737,1,65,0.0998,1,14838.4908
CUST00148,42,3,Informal,22784.0,1,668.9421536504409,App Organic,Personal,86879.0,3,22.96,30075.0,D,1.0,0.95,0.2788,1,39,0.1138,1,4986.8546
CUST00149,33,3,Informal,13815.0,0,,App Organic,Medical,43971.0,3,28.4,15356.0,E,1.0,0.95,0.7071,1,130,0.4413,1,3121.941
CUST00150,22,2,Informal,19865.0,0,,Partnership,Medical,99108.0,36,27.09,4051.0,E,0.3332,0.2039,0.5964,0,161,0.6798,1,80545.0716
CUST00151,34,1,Informal,24586.0,1,683.6081705119162,App Organic,Education,152168.0,12,22.42,14273.0,D,0.8086,0.5805,0.6195,1,99,0.7763,1,34116.0656
CUST00152,48,1,Self-Employed,52910.0,0,,App Organic,Personal,60758.0,36,23.02,2353.0,D,0.2362,0.0445,0.8065,0,0,1.0,0,41959.474799999996
CUST00153,27,3,Self-Employed,41502.0,1,714.6752620769668,Referral,Personal,106624.0,18,18.09,6808.0,C,0.3657,0.164,0.1668,0,0,1.0,0,28932.422400000003
CUST00154,38,3,Salaried,52801.0,1,712.5968453430551,Partnership,Personal,139542.0,12,17.95,12790.0,C,0.4265,0.2422,0.8441,0,0,1.0,0,25047.789
CUST00155,56,2,Salaried,81943.0,0,,App Organic,BNPL,69551.0,36,23.4,2707.0,D,0.2552,0.033,0.1033,0,110,0.0426,1,48824.801999999996
CUST00156,56,1,Self-Employed,53110.0,1,731.9411081128992,Agent,Personal,94772.0,12,13.95,8507.0,B,0.2791,0.1602,0.6647,0,0,1.0,0,13220.693999999998
CUST00157,24,3,Informal,16109.0,0,,Agent,Personal,143593.0,36,28.51,5979.0,E,0.616,0.3712,0.2072,0,177,0.2407,1,122815.0929
CUST00158,50,3,Self-Employed,36667.0,0,,App Organic,Personal,37558.0,6,23.16,6689.0,D,0.3474,0.1824,0.6421,0,0,1.0,0,4349.2164
